"player_id","first_name","last_name","is_active"
"446","Lucious","Harris","0"
"448","Bo","Outlaw","0"
"452","Vin","Baker","0"
"456","Chuck","Person","0"
"457","Andrew","Lang","0"
"458","Howard","Eisley","0"
"460","Trevor","Ruffin","0"
"461","Popeye","Jones","0"
"462","J.R.","Reid","0"
"467","Jason","Kidd","0"
"468","Jon","Barry","0"
"469","Jamal","Mashburn","0"
"470","Doc","Rivers","0"
"474","Stefano","Rusconi","0"
"475","Doug","Smith","0"
"511","Melvin","Booker","0"
"671","Donnie","Boyce","0"
"672","Matt","Bullard","0"
"673","Alan","Henderson","0"
"674","Reggie","Jordan","0"
"675","Junior","Burrough","0"
"676","Thomas","Hamilton","0"
"677","Eric","Williams","0"
"678","George","Zidek","0"
"679","Jason","Caffey","0"
"680","John","Amaechi","0"
"681","Donny","Marshall","0"
"682","Bob","Sura","0"
"683","Darryl","Johnson","0"
"684","Loren","Meyer","0"
"685","Cherokee","Parks","0"
"686","Antonio","McDyess","0"
"687","Rastko","Cvetkovic","0"
"688","Michael","Curry","0"
"689","Theo","Ratliff","0"
"690","Don","Reid","0"
"691","Lou","Roe","0"
"692","Andrew","DeClercq","0"
"693","Joe","Smith","0"
"694","Sam","Mack","0"
"695","Eldridge","Recasner","0"
"696","Travis","Best","0"
"697","Fred","Hoiberg","0"
"698","Eddie","Johnson","0"
"699","Brent","Barry","0"
"700","Keith","Tower","0"
"701","Frankie","King","0"
"702","Voshon","Lenard","0"
"703","Kurt","Thomas","0"
"704","Shawn","Respert","0"
"705","Randolph","Keys","0"
"706","Jerome","Allen","0"
"707","Mark","Davis","0"
"708","Kevin","Garnett","0"
"709","Ed","O'Bannon","0"
"710","David","Vaughn","0"
"711","Jerry","Stackhouse","0"
"712","Mario","Bennett","0"
"713","Chris","Carr","0"
"714","Michael","Finley","0"
"715","John","Coker","0"
"716","Rumeal","Robinson","0"
"717","Arvydas","Sabonis","0"
"718","Gary","Trent","0"
"719","Randolph","Childress","0"
"720","Terrence","Rencher","0"
"721","Tyus","Edney","0"
"722","Corliss","Williamson","0"
"723","Clint","McDaniel","0"
"724","Cory","Alexander","0"
"725","Dell","Demps","0"
"726","Sherell","Ford","0"
"727","Eric","Snow","0"
"728","Jimmy","King","0"
"729","Martin","Lewis","0"
"730","Dwayne","Whitfield","0"
"731","Greg","Ostertag","0"
"732","Ashraf","Amaya","0"
"733","Cuonzo","Martin","0"
"734","Lawrence","Moten","0"
"735","Bryant","Reeves","0"
"736","Cedric","Lewis","0"
"737","Bob","McCann","0"
"738","Bob","Thornton","0"
"739","Rasheed","Wallace","0"
"753","Randy","Brown","0"
"754","Jim","Jackson","0"
"757","Damon","Stoudamire","0"
"760","Jerome","Kersey","0"
"761","Matt","Geiger","0"
"762","Shawn","Bradley","0"
"763","Tony","Massenburg","0"
"764","David","Robinson","0"
"765","Hersey","Hawkins","0"
"766","David","Wingate","0"
"767","Terry","Catledge","0"
"768","Acie","Earl","0"
"769","B.J.","Armstrong","0"
"770","Mark","West","0"
"771","Elmore","Spencer","0"
"777","Rex","Walters","0"
"779","Glen","Rice","0"
"780","Byron","Houston","0"
"781","Will","Perdue","0"
"782","Mitch","Richmond","0"
"783","Frank","Brickowski","0"
"785","Eric","Murdock","0"
"786","Gerald","Wilkins","0"
"787","Charles","Barkley","0"
"788","Kevin","Willis","0"
"891","Charles","Oakley","0"
"892","Spud","Webb","0"
"893","Michael","Jordan","0"
"894","Ricky","Pierce","0"
"895","Tyrone","Corbin","0"
"896","Tim","Hardaway","0"
"897","Tim","Perry","0"
"898","Blue","Edwards","0"
"899","Mark","Price","0"
"900","Matt","Fish","0"
"901","Otis","Thorpe","0"
"902","Bimbo","Coles","0"
"903","Geert","Hammink","0"
"904","Chris","Mullin","0"
"905","Dale","Davis","0"
"906","Haywoode","Workman","0"
"907","Malik","Sealy","0"
"911","Ervin","Johnson","0"
"912","Rafael","Addison","0"
