"player_id","season","team_drafted_to_id","round_number","round_pick","overall_pick_number"
"754",1992,"1610612742",1,4,4
"757",1995,"1610612761",1,7,7
"760",1984,"1610612757",2,22,46
"761",1992,"1610612748",2,15,42
"762",1993,"1610612755",1,2,2
"763",1990,"1610612759",2,16,43
"764",1987,"1610612759",1,1,1
"765",1988,"1610612746",1,6,6
"766",1986,"1610612755",2,20,44
"767",1985,"1610612755",1,21,21
"768",1993,"1610612738",1,19,19
"769",1989,"1610612741",1,18,18
"770",1983,"1610612742",2,6,30
"771",1992,"1610612746",1,25,25
"777",1993,"1610612751",1,16,16
"779",1989,"1610612748",1,4,4
"780",1992,"1610612741",1,27,27
"781",1988,"1610612741",1,11,11
"782",1988,"1610612744",1,5,5
"783",1981,"1610612752",3,11,57
"785",1991,"1610612762",1,21,21
"786",1985,"1610612752",2,23,47
"787",1984,"1610612755",1,5,5
"788",1984,"1610612737",1,11,11
"891",1985,"1610612739",1,9,9
"892",1985,"1610612765",4,17,87
"893",1984,"1610612741",1,3,3
"894",1982,"1610612765",1,18,18
"895",1985,"1610612759",2,11,35
"896",1989,"1610612744",1,14,14
"897",1988,"1610612756",1,7,7
"898",1989,"1610612762",1,21,21
"899",1986,"1610612742",2,1,25
"900",1992,"1610612744",2,23,50
"901",1984,"1610612758",1,9,9
"902",1990,"1610612758",2,13,40
"903",1993,"1610612753",1,26,26
"904",1985,"1610612744",1,7,7
"905",1991,"1610612754",1,13,13
"906",1989,"1610612737",2,22,49
"907",1992,"1610612754",1,14,14
"911",1993,"1610612760",1,23,23
"912",1986,"1610612756",2,15,39
"913",1991,"1610612766",1,1,1
"914",1991,"1610612753",1,23,23
"915",1993,"1610612743",1,9,9
"916",1993,"1610612741",1,25,25
"917",1987,"1610612741",4,10,79
"919",1990,"1610612746",1,13,13
"920",1985,"1610612747",1,23,23
"921",1986,"1610612739",1,1,1
"922",1990,"1610612747",1,27,27
"923",1994,"1610612750",1,4,4
"924",1994,"1610612756",2,25,52
"925",1990,"1610612759",2,27,54
"926",1984,"1610612759",1,7,7
"927",1986,"1610612765",1,11,11
"930",1986,"1610612756",3,8,55
"931",1992,"1610612765",1,19,19
"932",1992,"1610612756",1,22,22
"934",1990,"1610612751",1,1,1
"935",1993,"1610612762",2,18,45
"937",1987,"1610612760",1,5,5
