"player_id","season","wingspan","standing_reach","hand_width","hand_length","bench_press","standing_vertical_leap","three_quarter_sprint"
"203138",2012,"81.5","102.5","9.75","8.25","6","28.5","3.38"
"203156",2012,"88","108","10","9.25","7","26.5","3.44"
"203158",2012,"85.5","105","7.75","9","17","27.5","3.6"
"203159",2012,"76","94.5","9.5","8.5","17","27","3.3"
"203183",2012,"82","100","10","8.5","14","31.5","3.47"
"203318",2013,"81.25","101.5","9","8.5","10","33","3.25"
"203457",2013,"87.75","110","10","9.5",NULL,NULL,NULL
"203458",2013,"87.5",NULL,"10.75","9",NULL,NULL,NULL
"203459",2013,"83.25","103.5","8.5","8.25","10","30.5","3.32"
"203460",2013,"83","104.5","9.5","8.75","10","30","3.34"
"203462",2013,"81.5","102","9","8.5","1","30","3.27"
"203463",2013,"79.75","100.5","9.5","8.75","6","32.5","3.27"
"203464",2013,"82.25","98","9.5","8.5","15","33.5","3.37"
"203467",2013,"81.25","103.5","9.5","8.5","15","32","3.25"
"203468",2013,"78.25","96.5","9.5","8","13","32","3.32"
"203469",2013,"82.75","106","10.5","8.5","17","35.5","3.15"
"203471",2013,"79.75","98","10.5","8.75","1","30","3.21"
"203473",2013,"88","109","11","9","8","28","3.4"
"203475",2013,"77.75","98","9","8.5","5",NULL,NULL
"203476",2013,"87.5","111.5","10","9",NULL,NULL,NULL
"203477",2013,"76.5","94.5","9.5","8.25","16","33","3.22"
"203479",2013,"83.25","103.5","8.25","8.5",NULL,NULL,NULL
"203480",2013,"85","106","9.5","8","5","29","3.38"
"203481",2013,"86","110.5","9.75","9","10","26.5","3.47"
"203482",2013,"81.75","108","10","8.5","5","24.5","3.59"
"203484",2013,"80","100.5","9","8.5","7","29","3.12"
"203485",2013,"79","100","8.5","8.25","8","28","3.4"
"203486",2013,"83","108","9.5","9.75","14","30.5","3.29"
"203487",2013,"79.25","101","8.5","7.5","8","31.5","3.22"
"203488",2013,"85","108","9","8.5","5","28","3.44"
"203489",2013,"75.75","98","8.75","8.25","8",NULL,NULL
"203490",2013,"85.5","105.5","9.25","8.75","9","27","3.4"
"203491",2013,"75","93","9.75","8","15","33.5","3.16"
"203492",2013,"75.25","96.5","8.75","8","5","30.5","3.25"
"203493",2013,"80.75","102","9","8.5","11","31","3.31"
"203495",2013,"79.25","102.5","9.25","8.5","4","27","3.32"
"203496",2013,"85.75","106","8.5","9","9","29.5","3.34"
"203497",2013,"92.5","115","10","9.75","7","25","3.57"
